search_keyword,label,title,video_id,view_count,like_count,comment_count,published_at
하락,1,"&#39;5천피&#39; 코앞에 두고 첫 하락…코스피 숨 고르기, 배경엔 / JTBC 뉴스룸",VPieNH0ngkE,17156,191,79,2026-01-20T11:30:34Z
하락,1,&#39;국장 하락 베팅&#39; 개미 돌아섰다! 대차잔고 140조 &#39;사상 최대&#39;,vINTLR1LFIA,14396,159,54,2026-02-06T08:40:02Z
하락,1,비트코인 하락으로 &#39;여기&#39; 깨지면 끝입니다. 기관과 세력은 &#39;여기&#39;에서 살 겁니다. ( 트레이더 솔트 ),Z2oaxGuj0fw,5041,120,8,2026-02-04T05:30:27Z
하락,1,"대세 하락은 없습니다! 반도체 1순위, 역대급 저평가 진입한 &#39;이곳&#39;이 2순위입니다 | 대신증권 이경민 부장",qHL1IWbW99w,5710,352,8,2026-03-25T22:00:49Z
하락,1,왜 코인만 못 오를까..? 코인 하락이유,m49hLRvTPpU,2414,44,52,2026-01-30T09:48:45Z
차별,1,전현무 인종차별 당한 썰,bHtYYE2ME3A,717801,4909,102,2025-04-15T09:30:31Z
차별,1,인종차별 당한 윤아 표정;;,Ne_bGatLhu8,5404988,99679,3318,2024-05-27T10:51:11Z
차별,1,차별요소 없애겠다고...결론은 장애인·비장애인 모두 불편 / KNN,EaO8bwJclhY,204430,1071,1501,2026-03-19T12:10:14Z
차별,1,Racism karma moments #shorts,dZBJUOkwd1s,12543100,232458,4565,2023-07-07T13:46:00Z
차별,1,미국 변호사도 당한 프랑스 인종차별,d3EDdRrCQ4c,354028,1538,250,2025-07-24T07:24:13Z
차별,1,남녀차별,8tV0RAm7VRQ,3173525,110676,1297,2024-03-18T09:14:02Z
차별,1,[#김창옥쇼2] 이럴 거면 나는 왜 낳았어?😥 대놓고 차별하는 가족에 결국 터져버린 둘째의 서러움💦,Q2yyt-aLtTA,30264,137,77,2025-10-26T11:00:44Z
차별,1,백인보다 더 하다는 동양인의 인종차별? 🤣 #standupcomedy #standupcomedian #영어회화,cMlXY1jqPAk,7803046,86493,3318,2025-09-13T03:45:14Z
차별,1,윤아 막아섰던 그 경호원…&#39;인종차별 논란&#39; 칸영화제 피소｜지금 이 뉴스,JRkdIOFFx6w,4955573,16024,4648,2024-05-31T08:45:00Z
차별,1,해외에서 중국인으로 오해 받거나 인종차별 받았을 때 현지인 긁는 방법,p_ddjnU0Q6U,8421594,163242,4771,2025-02-24T09:53:56Z
차별,1,&#39;차별이다VS아니다&#39; 로제 지우기,1BhQyF47jig,1186438,15605,829,2025-10-01T07:29:42Z
차별,1,유럽 인종차별을 &#39;역이용&#39;하는 한국인들.. ㅋㅋㅋ,9bPb3ZiElgM,8766877,99584,4151,2025-08-16T02:30:06Z
차별,1,"엠마스톤, 숨쉬듯 인종차별",9TWNZVcqWX8,1663510,32318,2684,2024-03-12T07:36:38Z
차별,1,아빠 때문에 전 세계에 &#39;망신&#39;…졸업식에서 &#39;인종차별주의자 딸&#39; 된 고교생 #shorts / KBS,gRzIeD4X4vA,140992,1884,271,2024-06-10T03:00:24Z
차별,1,프랑스 인종차별 VS 한국 인종차별,mFmIIpm4JVw,7594855,147015,10321,2024-03-27T09:30:22Z
차별,1,차별 논란에 휩싸인 아이돌 #kpop #shorts,bCI_7CIa1ck,4306687,65200,539,2025-03-10T05:11:01Z
차별,1,남녀 임금 차별 어떻게 생각하시나요?,Qg-gA-IzcLc,483847,3768,1882,2025-06-19T01:00:32Z
차별,1,호주여행중 인종차별 당한 한국 커플,hp_Vd0UMeno,7763173,105670,8083,2025-08-15T01:00:44Z
차별,1,차별금지법 1분 완벽 설명 #공유하자 #이런설명처음이야,2UFOaw-Si3I,39983,4185,63,2025-07-09T16:24:48Z
